name,supplier,observed_count,inferred_topk,missing_topk
PRO_003992,SUP_0266,1,"[""数字资本市场服务"", ""银行金融服务"", ""互联网房地产业"", ""互联网搜索服务"", ""金融信息服务"", ""数字化商务服务"", ""物联网技术服务"", ""可穿戴智能设备制造"", ""互联网数据服务""]","[""数字资本市场服务"", ""银行金融服务"", ""互联网房地产业"", ""互联网搜索服务"", ""金融信息服务"", ""数字化商务服务"", ""物联网技术服务"", ""可穿戴智能设备制造"", ""互联网数据服务""]"
PRO_001842,SUP_0135,1,"[""银行金融服务"", ""数字化租赁"", ""其他数字金融"", ""网络借贷服务"", ""供应链管理服务"", ""货币银行服务"", ""财产保险"", ""数字社会"", ""数字金融"", ""智能制造""]","[""数字化租赁"", ""其他数字金融"", ""网络借贷服务"", ""供应链管理服务"", ""货币银行服务"", ""财产保险"", ""数字社会"", ""数字金融"", ""智能制造""]"
PRO_001841,SUP_0135,1,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""银行金融服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_001844,SUP_0135,1,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_001843,SUP_0135,2,"[""银行金融服务"", ""网络借贷服务"", ""数字化商务服务"", ""电信"", ""数字化租赁""]","[""网络借贷服务"", ""数字化商务服务"", ""电信""]"
PRO_001846,SUP_0135,1,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_001845,SUP_0135,1,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_001848,SUP_0135,2,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_001847,SUP_0135,1,"[""银行金融服务"", ""网络借贷服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]","[""银行金融服务"", ""数字化租赁"", ""数字化商务服务"", ""电信""]"
PRO_003909,SUP_0256,1,"[""数字化零售"", ""银行金融服务"", ""数字化商务服务"", ""医院"", ""数字金融"", ""房地产开发经营"", ""互联网保险"", ""网络借贷服务"", ""数字化租赁"", ""智慧配送""]","[""数字化零售"", ""银行金融服务"", ""数字化商务服务"", ""医院"", ""数字金融"", ""房地产开发经营"", ""互联网保险"", ""网络借贷服务"", ""数字化租赁"", ""智慧配送""]"
PRO_000666,SUP_0039,2,"[""银行金融服务"", ""货币银行服务"", ""综合零售"", ""供应链管理服务"", ""数字内容出版"", ""住宅房屋建筑"", ""互联网保险"", ""数据资源与产权交易"", ""数字社会""]","[""银行金融服务"", ""货币银行服务"", ""综合零售"", ""供应链管理服务"", ""数字内容出版"", ""住宅房屋建筑"", ""互联网保险"", ""数据资源与产权交易"", ""数字社会""]"
PRO_002853,SUP_0156,1,"[""银行金融服务"", ""数字化商务服务"", ""信息技术咨询服务"", ""数字资本市场服务"", ""智慧配送"", ""金融信息服务"", ""工程和技术研究和试验发展""]","[""银行金融服务"", ""数字化商务服务"", ""信息技术咨询服务"", ""数字资本市场服务"", ""智慧配送"", ""金融信息服务"", ""工程和技术研究和试验发展""]"
PRO_000665,SUP_0039,1,"[""银行金融服务"", ""货币银行服务"", ""综合零售"", ""数字金融"", ""数字化零售"", ""供应链管理服务"", ""住宅房屋建筑"", ""数字内容出版"", ""互联网保险"", ""数据资源与产权交易""]","[""货币银行服务"", ""综合零售"", ""数字金融"", ""数字化零售"", ""供应链管理服务"", ""住宅房屋建筑"", ""数字内容出版"", ""互联网保险"", ""数据资源与产权交易""]"
PRO_002726,SUP_0145,1,"[""银行金融服务"", ""数字金融"", ""互联网金融"", ""数字化商务服务"", ""数字商贸"", ""货币银行服务"", ""人身保险""]","[""银行金融服务"", ""数字金融"", ""互联网金融"", ""数字化商务服务"", ""数字商贸"", ""货币银行服务"", ""人身保险""]"
PRO_000646,SUP_0037,1,"[""银行金融服务"", ""供应链管理服务"", ""住宅房屋建筑"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]","[""供应链管理服务"", ""住宅房屋建筑"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]"
PRO_001704,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]","[""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]"
PRO_001705,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]","[""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]"
PRO_001707,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""房地产开发经营"", ""其他数字政府""]","[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""房地产开发经营"", ""其他数字政府""]"
PRO_001703,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]","[""银行金融服务"", ""网上税务办理"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]"
PRO_001700,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""数字资本市场服务""]","[""网上税务办理"", ""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""数字资本市场服务""]"
PRO_001702,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""人力资源服务"", ""行政办公自动化""]","[""银行金融服务"", ""网上税务办理"", ""基本保险"", ""人力资源服务"", ""行政办公自动化""]"
PRO_001701,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""人力资源服务"", ""基本保险"", ""房地产开发经营"", ""数字资本市场服务""]","[""网上税务办理"", ""人力资源服务"", ""基本保险"", ""房地产开发经营"", ""数字资本市场服务""]"
PRO_006100,SUP_0368,1,"[""货币银行服务"", ""人身保险"", ""其他数字金融"", ""银行金融服务"", ""数字金融"", ""财产保险"", ""咨询与调查"", ""数字化零售"", ""智慧配送"", ""数字化通用、专用设备制造""]","[""货币银行服务"", ""人身保险"", ""其他数字金融"", ""数字金融"", ""财产保险"", ""咨询与调查"", ""数字化零售"", ""智慧配送"", ""数字化通用、专用设备制造""]"
PRO_002728,SUP_0145,1,"[""银行金融服务"", ""智能交通"", ""其他数字金融"", ""城市公共交通运输"", ""智能化电力、热力、燃气及水生产和供应"", ""地理遥感信息及测绘地理信息服务"", ""其他数字政府"", ""智能车载设备制造"", ""其他互联网平台""]","[""银行金融服务"", ""智能交通"", ""其他数字金融"", ""城市公共交通运输"", ""智能化电力、热力、燃气及水生产和供应"", ""地理遥感信息及测绘地理信息服务"", ""其他数字政府"", ""智能车载设备制造"", ""其他互联网平台""]"
PRO_001483,SUP_0113,1,"[""银行金融服务"", ""互联网保险"", ""智慧教育"", ""电信"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""专业公共卫生服务"", ""广告业"", ""数字社会"", ""互联网零售""]","[""互联网保险"", ""智慧教育"", ""电信"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""专业公共卫生服务"", ""广告业"", ""数字社会"", ""互联网零售""]"
PRO_004008,SUP_0266,1,"[""数字资本市场服务"", ""数字化商务服务"", ""证券市场服务"", ""资本投资服务""]","[""数字资本市场服务"", ""数字化商务服务"", ""证券市场服务"", ""资本投资服务""]"
PRO_003999,SUP_0266,1,"[""资本投资服务"", ""银行金融服务"", ""数字化商务服务"", ""数字社会"", ""数字资本市场服务"", ""数字金融""]","[""银行金融服务"", ""数字化商务服务"", ""数字社会"", ""数字资本市场服务"", ""数字金融""]"
PRO_001850,SUP_0135,2,"[""银行金融服务"", ""其他数字金融"", ""网络借贷服务"", ""供应链管理服务"", ""数字金融"", ""数字化租赁"", ""货币银行服务"", ""财产保险"", ""数字社会"", ""智能制造""]","[""其他数字金融"", ""网络借贷服务"", ""供应链管理服务"", ""数字金融"", ""货币银行服务"", ""财产保险"", ""数字社会"", ""智能制造""]"
PRO_001849,SUP_0135,2,"[""银行金融服务"", ""数字化租赁"", ""其他数字金融"", ""供应链管理服务"", ""货币银行服务"", ""人身保险""]","[""数字化租赁"", ""其他数字金融"", ""供应链管理服务"", ""货币银行服务"", ""人身保险""]"
PRO_005725,SUP_0353,1,"[""银行金融服务"", ""数字化商务服务"", ""网上税务办理"", ""互联网批发零售"", ""数字金融"", ""其他未列明金融业"", ""数字政府"", ""数字资本市场服务""]","[""银行金融服务"", ""数字化商务服务"", ""网上税务办理"", ""互联网批发零售"", ""数字金融"", ""其他未列明金融业"", ""数字政府"", ""数字资本市场服务""]"
PRO_000649,SUP_0037,1,"[""银行金融服务"", ""住宅房屋建筑"", ""供应链管理服务"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]","[""住宅房屋建筑"", ""供应链管理服务"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]"
PRO_000648,SUP_0037,1,"[""银行金融服务"", ""人身保险"", ""互联网房地产业"", ""广告业"", ""数字化零售"", ""房地产开发经营"", ""网络借贷服务"", ""数字化租赁""]","[""人身保险"", ""互联网房地产业"", ""广告业"", ""数字化零售"", ""房地产开发经营"", ""网络借贷服务"", ""数字化租赁""]"
PRO_001725,SUP_0125,1,"[""银行金融服务"", ""智能道路运输"", ""智慧配送"", ""人身保险"", ""数字金融"", ""广告业"", ""行政办公自动化"", ""智慧教育"", ""国家行政机构"", ""水上货物运输""]","[""银行金融服务"", ""智能道路运输"", ""智慧配送"", ""人身保险"", ""数字金融"", ""广告业"", ""行政办公自动化"", ""智慧教育"", ""国家行政机构"", ""水上货物运输""]"
PRO_001711,SUP_0122,1,"[""银行金融服务"", ""互联网居民生活服务"", ""货币银行服务"", ""行政办公自动化"", ""医院"", ""数字政府"", ""专业公共卫生服务"", ""人力资源服务"", ""网络借贷服务"", ""婚姻服务""]","[""互联网居民生活服务"", ""货币银行服务"", ""行政办公自动化"", ""医院"", ""数字政府"", ""专业公共卫生服务"", ""人力资源服务"", ""网络借贷服务"", ""婚姻服务""]"
PRO_001724,SUP_0125,1,"[""银行金融服务"", ""数字金融"", ""其他批发业"", ""汽车零部件及配件制造"", ""法律服务"", ""人力资源服务"", ""数字社会"", ""稻谷种植"", ""农业科学研究和试验发展"", ""国家行政机构""]","[""银行金融服务"", ""数字金融"", ""其他批发业"", ""汽车零部件及配件制造"", ""法律服务"", ""人力资源服务"", ""数字社会"", ""稻谷种植"", ""农业科学研究和试验发展"", ""国家行政机构""]"
PRO_000647,SUP_0037,1,"[""资本投资服务"", ""银行金融服务"", ""数字金融"", ""数字化商务服务"", ""数字资本市场服务"", ""数字社会""]","[""资本投资服务"", ""数字金融"", ""数字化商务服务"", ""数字资本市场服务"", ""数字社会""]"
PRO_001706,SUP_0122,2,"[""银行金融服务"", ""基本保险"", ""人力资源服务"", ""网上税务办理"", ""房地产开发经营"", ""其他数字政府""]","[""基本保险"", ""人力资源服务"", ""房地产开发经营"", ""其他数字政府""]"
PRO_001708,SUP_0122,1,"[""银行金融服务"", ""房地产开发经营"", ""基本保险"", ""人力资源服务"", ""网上税务办理"", ""行政办公自动化""]","[""银行金融服务"", ""房地产开发经营"", ""基本保险"", ""人力资源服务"", ""行政办公自动化""]"
PRO_001717,SUP_0123,5,"[""银行金融服务"", ""网络借贷服务"", ""人力资源服务"", ""数字金融"", ""数字政府"", ""专业公共卫生服务"", ""咨询与调查"", ""数字社会"", ""数字化零售"", ""数字化商务服务""]","[""数字金融"", ""数字政府"", ""专业公共卫生服务"", ""咨询与调查"", ""数字社会"", ""数字化零售"", ""数字化商务服务""]"
PRO_000870,SUP_0075,2,"[""银行金融服务"", ""货币银行服务"", ""数字化商务服务"", ""数字化租赁"", ""电信""]","[""银行金融服务"", ""数字化商务服务"", ""数字化租赁"", ""电信""]"
PRO_001718,SUP_0123,4,"[""银行金融服务"", ""网络借贷服务"", ""人力资源服务"", ""数字金融"", ""人身保险"", ""数字社会"", ""咨询与调查"", ""数字化零售"", ""婚姻服务"", ""家庭服务""]","[""网络借贷服务"", ""人力资源服务"", ""数字金融"", ""人身保险"", ""数字社会"", ""咨询与调查"", ""数字化零售"", ""婚姻服务"", ""家庭服务""]"
PRO_001699,SUP_0122,1,"[""银行金融服务"", ""网上税务办理"", ""人力资源服务"", ""基本保险"", ""房地产开发经营"", ""数字资本市场服务""]","[""网上税务办理"", ""人力资源服务"", ""基本保险"", ""房地产开发经营"", ""数字资本市场服务""]"
PRO_001188,SUP_0083,1,"[""银行金融服务"", ""住宅房屋建筑"", ""网络借贷服务"", ""货币银行服务"", ""人力资源服务"", ""供应链管理服务"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]","[""住宅房屋建筑"", ""网络借贷服务"", ""货币银行服务"", ""人力资源服务"", ""供应链管理服务"", ""数字金融"", ""数字化零售"", ""数字社会"", ""互联网保险""]"
PRO_004069,SUP_0266,1,"[""数字资本市场服务"", ""银行金融服务"", ""数字化商务服务"", ""互联网搜索服务"", ""咨询与调查""]","[""数字资本市场服务"", ""银行金融服务"", ""互联网搜索服务"", ""咨询与调查""]"
PRO_001658,SUP_0117,1,"[""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""广播"", ""其他采矿业"", ""数字化建筑业"", ""智慧教育"", ""医疗诊断、监护及治疗设备制造"", ""其他居民服务业"", ""其他日用产品修理业"", ""装卸搬运""]","[""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""广播"", ""其他采矿业"", ""数字化建筑业"", ""智慧教育"", ""医疗诊断、监护及治疗设备制造"", ""其他居民服务业"", ""其他日用产品修理业"", ""装卸搬运""]"
PRO_001639,SUP_0117,2,"[""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""物业管理"", ""其他采矿业"", ""数字化零售"", ""数字化批发"", ""运输代理业""]","[""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""物业管理"", ""其他采矿业"", ""数字化零售"", ""数字化批发"", ""运输代理业""]"
PRO_001643,SUP_0117,3,"[""智能化电力、热力、燃气及水生产和供应"", ""其他采矿业"", ""广播"", ""互联网房地产业"", ""医疗诊断、监护及治疗设备制造"", ""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""智慧教育"", ""数字化设施种植""]","[""智能化电力、热力、燃气及水生产和供应"", ""其他采矿业"", ""广播"", ""互联网房地产业"", ""医疗诊断、监护及治疗设备制造"", ""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""智慧教育"", ""数字化设施种植""]"
PRO_004080,SUP_0266,1,"[""银行金融服务"", ""金融信息服务"", ""数字化商务服务"", ""知识产权服务"", ""数字资本市场服务"", ""法律服务"", ""公开募集证券投资基金"", ""数字社会"", ""数字政府"", ""其他数字技术应用业""]","[""金融信息服务"", ""数字化商务服务"", ""知识产权服务"", ""数字资本市场服务"", ""法律服务"", ""公开募集证券投资基金"", ""数字社会"", ""数字政府"", ""其他数字技术应用业""]"
PRO_001645,SUP_0117,1,"[""其他家具制造"", ""安全系统监控服务"", ""咨询与调查"", ""智慧教育"", ""物业管理"", ""智能化电力、热力、燃气及水生产和供应"", ""广播"", ""其他采矿业"", ""数字化餐饮"", ""数字化住宿""]","[""其他家具制造"", ""安全系统监控服务"", ""咨询与调查"", ""智慧教育"", ""物业管理"", ""智能化电力、热力、燃气及水生产和供应"", ""广播"", ""其他采矿业"", ""数字化餐饮"", ""数字化住宿""]"
PRO_001640,SUP_0117,1,"[""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""其他家具制造"", ""安全系统监控服务"", ""咨询与调查"", ""物业管理"", ""装卸搬运"", ""通用仓储"", ""数字化餐饮"", ""数字化住宿""]","[""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""其他家具制造"", ""安全系统监控服务"", ""咨询与调查"", ""物业管理"", ""装卸搬运"", ""通用仓储"", ""数字化餐饮"", ""数字化住宿""]"
PRO_001655,SUP_0117,1,"[""咨询与调查"", ""其他家具制造"", ""安全系统监控服务"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""其他采矿业"", ""广播"", ""智能化电力、热力、燃气及水生产和供应"", ""数字化餐饮"", ""数字化住宿""]","[""咨询与调查"", ""其他家具制造"", ""安全系统监控服务"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""其他采矿业"", ""广播"", ""智能化电力、热力、燃气及水生产和供应"", ""数字化餐饮"", ""数字化住宿""]"
PRO_001656,SUP_0117,2,"[""医疗诊断、监护及治疗设备制造"", ""其他家具制造"", ""咨询与调查"", ""安全系统监控服务"", ""智慧教育"", ""物业管理"", ""广播"", ""其他采矿业"", ""数字化餐饮"", ""数字化住宿""]","[""医疗诊断、监护及治疗设备制造"", ""其他家具制造"", ""咨询与调查"", ""安全系统监控服务"", ""智慧教育"", ""物业管理"", ""广播"", ""其他采矿业"", ""数字化餐饮"", ""数字化住宿""]"
PRO_001652,SUP_0117,1,"[""其他采矿业"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""安全系统监控服务"", ""其他家具制造"", ""咨询与调查"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""飞机制造"", ""铁路机车车辆制造""]","[""其他采矿业"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""安全系统监控服务"", ""其他家具制造"", ""咨询与调查"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""飞机制造"", ""铁路机车车辆制造""]"
PRO_001653,SUP_0117,2,"[""咨询与调查"", ""租赁和商务服务业"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""数字化建筑业"", ""其他采矿业"", ""广播"", ""智慧教育"", ""其他居民服务业"", ""其他日用产品修理业""]","[""咨询与调查"", ""租赁和商务服务业"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""数字化建筑业"", ""其他采矿业"", ""广播"", ""智慧教育"", ""其他居民服务业"", ""其他日用产品修理业""]"
PRO_001654,SUP_0117,1,"[""其他采矿业"", ""广播"", ""互联网房地产业"", ""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""飞机制造"", ""铁路机车车辆制造""]","[""其他采矿业"", ""广播"", ""互联网房地产业"", ""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""飞机制造"", ""铁路机车车辆制造""]"
PRO_003312,SUP_0175,1,"[""银行金融服务"", ""金融信息服务"", ""其他数字金融""]","[""金融信息服务"", ""其他数字金融""]"
PRO_004035,SUP_0266,1,"[""数字化商务服务"", ""数字资本市场服务"", ""银行金融服务"", ""资本投资服务"", ""法律服务"", ""知识产权服务"", ""互联网资讯服务"", ""数字政府"", ""其他数字技术应用业""]","[""数字资本市场服务"", ""银行金融服务"", ""资本投资服务"", ""法律服务"", ""知识产权服务"", ""互联网资讯服务"", ""数字政府"", ""其他数字技术应用业""]"
PRO_001661,SUP_0118,1,"[""住宅房屋建筑"", ""银行金融服务"", ""其他土木工程建筑"", ""数字化商务服务"", ""木质家具制造"", ""数字金融"", ""数字化零售"", ""橡胶制品业"", ""塑料制品业"", ""电信""]","[""住宅房屋建筑"", ""银行金融服务"", ""其他土木工程建筑"", ""木质家具制造"", ""数字金融"", ""数字化零售"", ""橡胶制品业"", ""塑料制品业"", ""电信""]"
PRO_001713,SUP_0122,1,"[""银行金融服务"", ""其他农业"", ""数字化商务服务"", ""人力资源服务"", ""环境与生态监测检测服务"", ""气象服务"", ""数字政府"", ""专业公共卫生服务"", ""智能道路运输"", ""智慧配送""]","[""其他农业"", ""数字化商务服务"", ""人力资源服务"", ""环境与生态监测检测服务"", ""气象服务"", ""数字政府"", ""专业公共卫生服务"", ""智能道路运输"", ""智慧配送""]"
PRO_001482,SUP_0113,1,"[""银行金融服务"", ""互联网保险"", ""智慧教育"", ""电信"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""专业公共卫生服务"", ""广告业"", ""数字社会"", ""互联网零售""]","[""互联网保险"", ""智慧教育"", ""电信"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""专业公共卫生服务"", ""广告业"", ""数字社会"", ""互联网零售""]"
PRO_003542,SUP_0232,3,"[""数字化零售"", ""银行金融服务"", ""人身保险"", ""人力资源服务"", ""橡胶制品业"", ""塑料制品业"", ""数字金融"", ""稻谷种植"", ""农业科学研究和试验发展"", ""国家行政机构""]","[""数字化零售"", ""银行金融服务"", ""人身保险"", ""人力资源服务"", ""橡胶制品业"", ""塑料制品业"", ""稻谷种植"", ""农业科学研究和试验发展"", ""国家行政机构""]"
PRO_001641,SUP_0117,1,"[""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""物业管理"", ""其他采矿业"", ""广播"", ""智能化电力、热力、燃气及水生产和供应"", ""数字化餐饮"", ""数字化住宿""]","[""安全系统监控服务"", ""其他家具制造"", ""医疗诊断、监护及治疗设备制造"", ""智慧教育"", ""物业管理"", ""其他采矿业"", ""广播"", ""智能化电力、热力、燃气及水生产和供应"", ""数字化餐饮"", ""数字化住宿""]"
PRO_001638,SUP_0117,1,"[""租赁和商务服务业"", ""咨询与调查"", ""数字化建筑业"", ""智慧教育"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""其他采矿业"", ""其他居民服务业"", ""其他日用产品修理业"", ""装卸搬运""]","[""租赁和商务服务业"", ""咨询与调查"", ""数字化建筑业"", ""智慧教育"", ""智能化电力、热力、燃气及水生产和供应"", ""互联网房地产业"", ""其他采矿业"", ""其他居民服务业"", ""其他日用产品修理业"", ""装卸搬运""]"
PRO_004007,SUP_0266,1,"[""数字资本市场服务"", ""数字化商务服务"", ""银行金融服务"", ""证券市场服务"", ""资本投资服务""]","[""数字化商务服务"", ""银行金融服务"", ""证券市场服务"", ""资本投资服务""]"
PRO_001650,SUP_0117,2,"[""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""智慧教育"", ""物业管理"", ""医疗诊断、监护及治疗设备制造"", ""数字化餐饮"", ""数字化住宿"", ""运输代理业"", ""多式联运""]","[""咨询与调查"", ""安全系统监控服务"", ""其他家具制造"", ""智慧教育"", ""物业管理"", ""医疗诊断、监护及治疗设备制造"", ""数字化餐饮"", ""数字化住宿"", ""运输代理业"", ""多式联运""]"
